siRNA,mRNA,efficacy
Katoh_669,EGFP,0.335
Katoh_670,EGFP,0.291
Katoh_671,EGFP,0.347
Katoh_672,EGFP,0.253
Katoh_673,EGFP,0.696
Katoh_674,EGFP,0.144
Katoh_675,EGFP,0.305
Katoh_676,EGFP,0.576
Katoh_677,EGFP,0.269
Katoh_678,EGFP,0.326
Katoh_679,EGFP,0.474
Katoh_680,EGFP,0.297
Katoh_681,EGFP,0.315
Katoh_682,EGFP,0.154
Katoh_683,EGFP,0.251
Katoh_684,EGFP,0.318
Katoh_685,EGFP,0.244
Katoh_686,EGFP,0.628
Katoh_687,EGFP,0.261
Katoh_688,EGFP,0.219
Katoh_689,EGFP,0.114
Katoh_690,EGFP,0.251
Katoh_691,EGFP,0.091
Katoh_692,EGFP,0.604
Katoh_693,EGFP,0.831
Katoh_694,EGFP,0.334
Katoh_695,EGFP,0.668
Katoh_696,EGFP,0.568
Katoh_697,EGFP,0.737
Katoh_698,EGFP,0.767
Katoh_699,EGFP,0.535
Katoh_700,EGFP,0.684
Katoh_701,EGFP,0.829
Katoh_702,EGFP,0.835
Khvorova_B412,U47298,0.93
Khvorova_B413,U47298,0.608
Khvorova_B414,U47298,0.911
Khvorova_B415,U47298,0.921
Khvorova_B416,NM_001632,0.547
Khvorova_B417,NM_001632,0.565
Khvorova_B418,NM_001632,0.79
Khvorova_B419,NM_001632,0.74
Reynolds_B82,NM_001632,0.81
Reynolds_B83,NM_001632,0.49
Reynolds_B84,NM_001632,0.88
Reynolds_B86,NM_001632,0.3
Reynolds_B87,NM_001632,0.85
Reynolds_B88,NM_001632,0.2
Reynolds_B90,NM_001632,0.6
Reynolds_B91,NM_001632,0.32
Reynolds_B92,U47298,0.96
Reynolds_B93,U47298,0.959
Reynolds_B94,U47298,0.959
Reynolds_B95,U47298,0.955
Reynolds_B96,U47298,0.953
Reynolds_B97,U47298,0.951
Reynolds_B98,U47298,0.95
Reynolds_B99,U47298,0.949
Reynolds_B100,U47298,0.947
Reynolds_B101,U47298,0.946
Reynolds_B102,U47298,0.943
Reynolds_B103,U47298,0.936
Reynolds_B104,U47298,0.936
Reynolds_B105,U47298,0.932
Reynolds_B106,U47298,0.931
Reynolds_B107,U47298,0.931
Reynolds_B108,U47298,0.929
Reynolds_B109,U47298,0.927
Reynolds_B110,U47298,0.926
Reynolds_B111,U47298,0.923
Reynolds_B112,U47298,0.917
Reynolds_B113,U47298,0.913
Reynolds_B114,U47298,0.912
Reynolds_B115,U47298,0.908
Reynolds_B116,U47298,0.902
Reynolds_B117,U47298,0.901
Reynolds_B118,U47298,0.901
Reynolds_B119,U47298,0.897
Reynolds_B120,U47298,0.893
Reynolds_B121,U47298,0.892
Reynolds_B122,U47298,0.888
Reynolds_B123,U47298,0.885
Reynolds_B124,U47298,0.885
Reynolds_B125,U47298,0.884
Reynolds_B126,U47298,0.876
Reynolds_B127,U47298,0.876
Reynolds_B128,U47298,0.875
Reynolds_B129,U47298,0.871
Reynolds_B130,U47298,0.868
Reynolds_B131,U47298,0.868
Reynolds_B132,U47298,0.855
Reynolds_B133,U47298,0.841
Reynolds_B134,U47298,0.828
Reynolds_B135,U47298,0.825
Reynolds_B136,U47298,0.807
Reynolds_B137,U47298,0.804
Reynolds_B138,U47298,0.795
Reynolds_B139,U47298,0.786
Reynolds_B140,U47298,0.782
Reynolds_B141,U47298,0.778
Reynolds_B142,U47298,0.766
Reynolds_B143,U47298,0.748
Reynolds_B144,U47298,0.739
Reynolds_B145,U47298,0.738
Reynolds_B146,U47298,0.711
Reynolds_B147,U47298,0.703
Reynolds_B148,U47298,0.681
Reynolds_B149,U47298,0.67
Reynolds_B150,U47298,0.661
Reynolds_B151,U47298,0.643
Reynolds_B152,U47298,0.633
Reynolds_B153,U47298,0.61
Reynolds_B154,U47298,0.588
Reynolds_B155,U47298,0.522
Reynolds_B156,U47298,0.476
Reynolds_B157,U47298,0.474
Reynolds_B158,U47298,0.472
Reynolds_B159,U47298,0.449
Reynolds_B160,U47298,0.442
Reynolds_B161,U47298,0.438
Reynolds_B162,U47298,0.392
Reynolds_B163,U47298,0.388
Reynolds_B164,U47298,0.387
Reynolds_B165,U47298,0.359
Reynolds_B166,U47298,0.326
Reynolds_B167,U47298,0.321
Reynolds_B168,U47298,0.299
Reynolds_B169,U47298,0.249
Reynolds_B170,U47298,0.203
Reynolds_B171,U47298,0.184
Reynolds_B172,U47298,0.138
Reynolds_B179,M60857,0.946
Reynolds_B180,M60857,0.942
Reynolds_B181,M60857,0.939
Reynolds_B182,M60857,0.934
Reynolds_B183,M60857,0.933
Reynolds_B184,M60857,0.928
Reynolds_B185,M60857,0.927
Reynolds_B186,M60857,0.927
Reynolds_B187,M60857,0.923
Reynolds_B188,M60857,0.923
Reynolds_B189,M60857,0.919
Reynolds_B190,M60857,0.908
Reynolds_B191,M60857,0.902
Reynolds_B192,M60857,0.897
Reynolds_B193,M60857,0.89
Reynolds_B194,M60857,0.89
Reynolds_B195,M60857,0.888
Reynolds_B196,M60857,0.887
Reynolds_B197,M60857,0.884
Reynolds_B198,M60857,0.881
Reynolds_B199,M60857,0.879
Reynolds_B200,M60857,0.876
Reynolds_B201,M60857,0.874
Reynolds_B202,M60857,0.874
Reynolds_B203,M60857,0.867
Reynolds_B204,M60857,0.865
Reynolds_B205,M60857,0.864
Reynolds_B206,M60857,0.851
Reynolds_B207,M60857,0.849
Reynolds_B208,M60857,0.849
Reynolds_B209,M60857,0.847
Reynolds_B210,M60857,0.839
Reynolds_B211,M60857,0.839
Reynolds_B212,M60857,0.838
Reynolds_B213,M60857,0.835
Reynolds_B214,M60857,0.829
Reynolds_B215,M60857,0.819
Reynolds_B216,M60857,0.813
Reynolds_B217,M60857,0.809
Reynolds_B218,M60857,0.804
Reynolds_B219,M60857,0.802
Reynolds_B220,M60857,0.785
Reynolds_B221,M60857,0.774
Reynolds_B222,M60857,0.772
Reynolds_B223,M60857,0.766
Reynolds_B224,M60857,0.761
Reynolds_B225,M60857,0.758
Reynolds_B226,M60857,0.753
Reynolds_B227,M60857,0.745
Reynolds_B228,M60857,0.744
Reynolds_B229,M60857,0.738
Reynolds_B230,M60857,0.731
Reynolds_B231,M60857,0.717
Reynolds_B232,M60857,0.712
Reynolds_B233,M60857,0.705
Reynolds_B234,M60857,0.692
Reynolds_B235,M60857,0.68
Reynolds_B236,M60857,0.678
Reynolds_B237,M60857,0.664
Reynolds_B238,M60857,0.641
Reynolds_B239,M60857,0.639
Reynolds_B240,M60857,0.603
Reynolds_B241,M60857,0.589
Reynolds_B242,M60857,0.584
Reynolds_B243,M60857,0.559
Reynolds_B244,M60857,0.55
Reynolds_B245,M60857,0.52
Reynolds_B246,M60857,0.512
Reynolds_B247,M60857,0.507
Reynolds_B248,M60857,0.495
Reynolds_B249,M60857,0.485
Reynolds_B250,M60857,0.468
Reynolds_B251,M60857,0.459
Reynolds_B252,M60857,0.454
Reynolds_B253,M60857,0.419
Reynolds_B254,M60857,0.418
Reynolds_B255,M60857,0.417
Reynolds_B256,M60857,0.397
Reynolds_B257,M60857,0.328
Reynolds_B258,M60857,0.307
Reynolds_B259,M60857,0.214
Reynolds_B260,M60857,0.181
Reynolds_B261,M60857,0.176
Reynolds_B262,M60857,0.163
Reynolds_B263,M60857,0.16
Reynolds_B264,M60857,0.138
Reynolds_B265,M60857,0.076
Reynolds_B266,M60857,0.073
Reynolds_B267,M60857,0.028
Reynolds_B281,NM_031313,0.908
Reynolds_B282,NM_031313,0.018
Reynolds_B283,NM_031313,0.212
Reynolds_B284,NM_031313,0.802
Reynolds_B285,NM_031313,0.06
Reynolds_B286,NM_031313,0.165
Reynolds_B287,NM_031313,0.624
Reynolds_B288,U47296,0.977
Reynolds_B289,U47296,0.555
Reynolds_B290,U47296,0.386
Reynolds_B291,U47296,0.416
Reynolds_B292,U47296,0.099
Reynolds_B293,U47296,0.897
Reynolds_B294,U47296,0.347
Reynolds_B295,U47296,0.919
Reynolds_B296,U47296,0.919
Reynolds_B297,NM_020548,0.049
Reynolds_B299,NM_020548,0.06
Reynolds_B302,NM_020548,0.507
Reynolds_B303,NM_020548,0.337
Reynolds_B304,NM_020548,0.718
Reynolds_B305,NM_020548,0.68
Reynolds_B306,X75932,0.306
Reynolds_B307,X75932,0.439
Reynolds_B308,X75932,0.526
Reynolds_B309,X75932,0.58
Reynolds_B310,X75932,0.584
Reynolds_B311,X75932,0.571
Reynolds_B312,X75932,0.685
Reynolds_B313,X75932,0.55
Reynolds_B314,X75932,0.822
Reynolds_B315,X75932,0.725
Reynolds_B317,NM_002046,0.698
Reynolds_B318,NM_002046,0.127
Reynolds_B319,NM_002046,0.605
Reynolds_B320,NM_002046,0.942
Reynolds_B321,NM_002046,0.708
Reynolds_B322,NM_002046,0.386
Reynolds_B324,NM_002046,0.43
Reynolds_B326,NM_002046,0.887
Reynolds_B327,NM_002046,0.939
Reynolds_B328,NM_002046,0.803
Reynolds_B329,NM_002046,0.927
Reynolds_B330,NM_002046,0.925
Reynolds_B331,NM_002046,0.924
Reynolds_B332,NM_002046,0.776
Reynolds_B333,NM_002046,0.583
Reynolds_B334,NM_002046,0.942
Reynolds_B335,NM_002046,0.915
Simone_1,NM_001530,0.33
Simone_2,NM_001530,0.68
Simone_3,NM_001530,0.56
Simone_4,NM_001530,0.91
Simone_5,NM_001530,0.73
Simone_6,NM_001530,0.85
Simone_7,NM_001530,0.89
Simone_8,NM_001530,0.84
Simone_9,NM_001530,0.69
Simone_10,NM_001530,0.14
Simone_11,NM_001530,0.75
Simone_12,NM_001530,0.85
Simone_13,NM_001530,0.9
Simone_14,NM_001530,0.86
Simone_15,NM_001530,0.77
Simone_16,NM_001530,0.89
Simone_17,NM_001530,0.82
Simone_18,NM_001530,0.77
Simone_19,NM_001530,0.82
Simone_20,NM_001530,0.55
Simone_21,NM_001530,0.89
Simone_22,NM_001530,0.9
Simone_23,NM_001530,0.9
Simone_24,NM_001530,0.63
Simone_25,NM_001530,0.39
Simone_26,NM_001530,0.92
Simone_27,NM_001530,0.89
Simone_28,NM_001530,0.91
Simone_29,NM_001530,0.84
Simone_30,NM_001530,0.23
Simone_31,NM_001530,0.87
Simone_32,NM_001530,0.85
Simone_33,NM_001530,0.91
Simone_34,NM_001530,0.63
Simone_35,NM_001530,0.89
Simone_36,NM_001530,0.58
Simone_37,NM_001530,0.88
Simone_38,NM_001530,0.89
Simone_39,NM_001530,0.17
Simone_40,NM_001530,0.87
Simone_41,NM_001530,0.8
Simone_42,NM_001530,0.86
Simone_43,NM_001530,0.9
Simone_44,NM_001530,0.83
Simone_45,NM_001530,0.87
Simone_46,NM_001530,0.85
Simone_47,NM_001530,0.9
Simone_48,NM_001530,0.8
Simone_49,NM_001530,0.9
Simone_50,NM_001530,0.9
Simone_51,NM_001530,0.53
Simone_52,NM_001530,0.81
Simone_53,NM_001530,0.84
Simone_54,NM_001530,0.84
Simone_55,NM_001530,0.89
Simone_56,NM_001530,0.81
Simone_57,NM_001530,0.89
Simone_58,NM_001530,0.31
Simone_59,NM_001530,0.88
Simone_60,NM_001530,0.28
Simone_61,NM_001530,0.81
Simone_62,NM_001530,0.9
Simone_63,NM_001530,0.84
Simone_64,NM_001530,0.4
Simone_65,NM_001530,0.52
Simone_66,NM_001530,0.89
Simone_67,NM_001530,0.89
Simone_68,NM_001530,0.89
Simone_69,NM_001530,0.81
Simone_70,NM_001530,0.86
Simone_71,NM_001530,0.87
Simone_72,NM_001530,0.83
Simone_73,NM_001530,0.92
Simone_74,NM_001530,0.8
Simone_75,NM_001530,0.87
Simone_76,NM_001530,0.89
Simone_77,NM_001530,0.88
Simone_78,NM_001530,0.91
Simone_79,NM_001530,0.91
Simone_80,NM_001530,0.91
Simone_81,NM_001530,0.93
Simone_82,NM_001530,0.84
Simone_83,NM_001530,0.6
Simone_84,NM_001530,0.92
Simone_85,NM_001530,0.75
Simone_86,NM_001530,0.89
Simone_87,NM_001530,0.92
Simone_88,NM_001530,0.9
Simone_89,NM_001530,0.89
Simone_90,NM_001530,0.58
Simone_91,NM_001530,0.83
Simone_92,NM_001530,0.88
Simone_93,NM_001530,0.85
Simone_94,NM_001530,0.93
Simone_95,NM_001530,0.92
Simone_96,NM_001530,0.87
Simone_97,NM_001530,0.87
Simone_98,NM_001530,0.9
Simone_99,NM_001530,0.9
Simone_100,NM_001530,0.38
Simone_101,NM_000189,0.51
Simone_102,NM_000189,0.83
Simone_104,NM_000189,0.89
Simone_105,NM_000189,0.88
Simone_106,NM_000189,0.63
Simone_107,NM_000189,0.81
Simone_108,NM_000189,0.69
Simone_110,NM_000189,0.92
Simone_111,NM_000189,0.84
Simone_112,NM_000189,0.72
Simone_113,NM_000189,0.77
Simone_114,NM_000189,0.71
Simone_115,NM_000189,0.88
Simone_116,NM_000189,0.75
Simone_117,NM_000189,0.85
Simone_118,NM_000189,0.82
Simone_119,NM_000189,0.54
Simone_120,NM_000189,0.86
Simone_121,NM_000189,0.8
Simone_122,NM_000189,0.76
Simone_123,NM_000189,0.84
Simone_124,NM_000189,0.74
Simone_125,NM_000189,0.81
Simone_126,NM_000189,0.56
Simone_127,NM_000189,0.05
Simone_128,NM_000189,0.26
Simone_129,NM_000189,0.73
Simone_130,NM_000189,0.85
Simone_131,NM_000189,0.69
Simone_132,NM_000189,0.76
Simone_134,NM_000189,0.77
Simone_135,NM_000189,0.82
Simone_136,NM_000189,0.76
Simone_137,NM_000189,0.77
Simone_138,NM_000189,0.52
Simone_139,NM_000189,0.9
Simone_140,NM_000189,0.75
Simone_141,NM_000189,0.79
Simone_142,NM_000189,0.89
Simone_143,NM_000189,0.55
Simone_144,NM_000189,0.62
Simone_145,NM_000189,0.89
Simone_146,NM_000189,0.88
Simone_147,NM_000189,0.88
Simone_148,NM_000189,0.86
Simone_149,NM_000189,0.83
Simone_150,NM_000189,0.39
Simone_151,NM_000189,0.67
Simone_152,NM_000189,0.96
Simone_153,NM_000189,0.86
Simone_154,NM_000189,0.84
Simone_155,NM_000189,0.88
Simone_156,NM_000189,0.75
Simone_157,NM_000189,0.54
Simone_158,NM_000189,0.72
Simone_159,NM_000189,0.85
Simone_160,NM_000189,0.87
Simone_161,NM_000189,0.84
Simone_162,NM_000189,0.7
Simone_163,NM_000189,0.78
Simone_164,NM_000189,0.72
Simone_165,NM_000189,0.81
Simone_166,NM_000189,0.85
Simone_167,NM_000189,0.7
Simone_168,NM_000189,0.8
Simone_169,NM_000189,0.59
Simone_171,NM_000189,0.79
Simone_172,NM_000189,0.83
Simone_173,NM_000189,0.8
Simone_174,NM_000189,0.74
Simone_175,NM_000189,0.86
Simone_176,NM_000189,0.85
Simone_177,NM_000189,0.79
Simone_178,NM_000189,0.76
Simone_179,NM_000189,0.77
Simone_180,NM_000189,0.77
Simone_181,NM_000189,0.89
Simone_182,NM_000189,0.94
Simone_183,NM_000189,0.49
Simone_184,NM_000189,0.55
Simone_185,NM_000189,0.43
Simone_186,NM_000189,0.82
Simone_187,NM_000189,0.74
Simone_188,NM_000189,0.88
Simone_189,NM_000189,0.72
Simone_190,NM_000189,0.87
Simone_191,NM_000189,0.44
Simone_192,NM_000189,0.85
Simone_193,NM_000189,0.94
Simone_194,NM_000189,0.61
Simone_195,NM_000189,0.53
Simone_196,NM_000189,0.65
Simone_197,NM_000189,0.78
Simone_198,NM_000189,0.88
Simone_199,NM_000189,0.84
Simone_200,NM_001098540,0.94
Simone_201,NM_001098540,0.81
Simone_202,NM_001098540,0.95
Simone_203,NM_001098540,0.91
Simone_204,NM_001098540,0.92
Simone_205,NM_001098540,0.46
Simone_206,NM_001098540,0.72
Simone_207,NM_001098540,0.94
Simone_208,NM_001098540,0.33
Simone_209,NM_001098540,0.95
Simone_210,NM_001098540,0.87
Simone_211,NM_001098540,0.88
Simone_212,NM_001098540,0.7
Simone_213,NM_001098540,0.97
Simone_214,NM_001098540,0.95
Simone_215,NM_001098540,0.67
Simone_216,NM_001098540,0.48
Simone_218,NM_001098540,0.86
Simone_219,NM_001098540,0.87
Simone_220,NM_001098540,0.52
Simone_221,NM_001098540,0.39
Simone_222,NM_001098540,0.89
Simone_223,NM_001098540,0.66
Simone_224,NM_001098540,0.76
Simone_225,NM_001098540,0.91
Simone_226,NM_001098540,0.42
Simone_227,NM_001098540,0.73
Simone_228,NM_001098540,0.48
Simone_229,NM_001098540,0.89
Simone_230,NM_001098540,0.93
Simone_231,NM_001098540,0.89
Simone_232,NM_001098540,0.87
Simone_233,NM_001098540,0.71
Simone_234,NM_001098540,0.61
Simone_235,NM_001098540,0.84
Simone_236,NM_001098540,0.94
Simone_237,NM_001098540,0.67
Simone_238,NM_001098540,0.43
Simone_239,NM_001098540,0.08
Simone_243,NM_001098540,0.89
Simone_244,NM_001098540,0.73
Simone_245,NM_001098540,0.79
Simone_246,NM_001098540,0.85
Simone_247,NM_001098540,0.42
Simone_248,NM_001098540,0.58
Simone_249,NM_001098540,0.92
Simone_250,NM_001098540,0.85
Simone_251,NM_001098540,0.51
Simone_252,NM_001098540,0.84
Simone_253,NM_001098540,0.93
Simone_254,NM_001098540,0.51
Simone_255,NM_001098540,0.89
Simone_256,NM_001098540,0.93
Simone_257,NM_001098540,0.95
Simone_258,NM_001098540,0.88
Simone_259,NM_001098540,0.93
Simone_260,NM_001098540,0.63
Simone_261,NM_001098540,0.88
Simone_262,NM_001098540,0.87
Simone_263,NM_001098540,0.87
Simone_264,NM_001098540,0.88
Simone_265,NM_001098540,0.9
Simone_266,NM_001098540,0.61
Simone_267,NM_001098540,0.85
Simone_268,NM_001098540,0.55
Simone_269,NM_001098540,0.94
Simone_270,NM_001098540,0.98
Simone_271,NM_001098540,0.94
Simone_272,NM_001098540,0.92
Simone_273,NM_001098540,0.9
Simone_274,NM_001098540,0.86
Simone_275,NM_001098540,0.58
Simone_276,NM_001098540,0.82
Simone_277,NM_001098540,0.56
Simone_278,NM_001098540,0.86
Simone_279,NM_001098540,0.84
Simone_280,NM_001098540,0.87
Simone_281,NM_001098540,0.72
Simone_282,NM_001098540,0.88
Simone_283,NM_001098540,0.33
Simone_284,NM_001098540,0.87
Simone_285,NM_001098540,0.79
Simone_286,NM_001098540,0.57
Simone_287,NM_001098540,0.93
Simone_288,NM_001098540,0.89
Simone_289,NM_001098540,0.71
Simone_290,NM_001098540,0.77
Simone_291,NM_001098540,0.75
Simone_292,NM_001098540,0.9
Simone_293,NM_001098540,0.66
Simone_294,NM_001098540,0.5
Simone_295,NM_001098540,0.86
Simone_296,NM_001098540,0.87
Simone_297,NM_001098540,0.81
Simone_298,NM_001098540,0.89
Simone_299,NM_001098540,0.93
Simone_300,NM_001098540,0.84
Simone_301,NM_001098540,0.63
Simone_302,NM_001098540,0.7
Simone_303,NM_001098540,0.49
Simone_304,NM_001098540,0.85
Simone_305,NM_001098540,0.65
Simone_306,NM_001098540,0.58
Simone_307,NM_001098540,0.84
Simone_308,NM_001098540,0.76
Simone_309,NM_001098540,0.8
Simone_315,NM_002467,0.18
Simone_317,NM_002467,0.3
Simone_319,NM_002467,0.36
Simone_320,NM_002467,0.51
Simone_321,NM_002467,0.52
Simone_322,NM_002467,0.22
Simone_323,NM_002467,0.8
Simone_324,NM_004456,0.54
Simone_325,NM_004456,0.76
Simone_326,NM_004456,0.37
Simone_327,NM_004456,0.78
Simone_328,NM_004456,0.69
Simone_329,NM_004456,0.79
Simone_330,NM_004456,0.84
Simone_331,NM_004456,0.76
Simone_332,NM_004456,0.83
Simone_352,NM_001904,0.87
Simone_353,NM_001904,0.9
Simone_354,NM_001904,0.92
Simone_355,NM_001904,0.85
Simone_356,NM_001904,0.89
UiTei_B45,U47298,0.858
UiTei_B46,U47298,0.949
UiTei_B47,U47298,0.111
UiTei_B48,U47298,0.076
UiTei_B49,U47298,0.059
UiTei_B50,U47298,0.23
UiTei_B51,U47298,0.538
UiTei_B52,U47298,0.932
UiTei_B53,U47298,0.234
UiTei_B54,U47298,0.166
UiTei_B55,U47298,0.354
UiTei_B56,U47298,0.931
UiTei_B57,U47298,0.197
UiTei_B58,U47298,0.919
UiTei_B59,U47298,0.373
UiTei_B60,U47298,0.949
UiTei_B61,U47298,0.3
UiTei_B62,U47298,0.975
UiTei_B63,U47298,0.735
UiTei_B64,U47298,0.699
UiTei_B65,U47298,0.945
UiTei_B66,U47298,0.963
UiTei_B67,U47298,0.933
UiTei_B68,U47298,0.989
UiTei_B69,U47298,0.989
UiTei_B70,U47298,0.865
UiTei_B71,U47298,0.878
UiTei_B72,U47298,0.107
UiTei_B73,U47298,0.529
UiTei_B74,U47298,0.936
UiTei_B75,U47298,0.945
UiTei_B76,U47298,0.968
UiTei_B77,U47298,0.974
UiTei_B78,U47298,0.956
UiTei_B79,U47298,0.145
UiTei_B80,U47298,0.423
UiTei_B81,U47298,0.513
